short_name,total
L. Messi,969494-2
Cristiano Ronaldo,919390
A. Robben,9393+189+2
Z. Ibrahimović,74+28685
M. Neuer,58+843+489+3
L. Suárez,888691+2
E. Hazard,93+29285+1
R. van Persie,73-180-188+1
B. Schweinsteiger,58-174-190
F. Ribéry,91-19289-1
Falcao,808589-1
G. Bale,93+17784
R. Lewandowski,79-28088+1
P. Lahm,77-58392
Sergio Ramos,79-28482
Thiago Silva,75-47583-3
David Silva,839385
L. Modrić,78-19388+4
J. Rodríguez,79-284+485+1
Neymar,919286
T. Courtois,4661-376
M. Hummels,636485
A. Di María,909080+2
M. Reus,898987+1
T. Müller,79-378-191+4
S. Agüero,92-18686
M. Özil,77-284-187+2
Xavi,6779-390-1
Y. Touré,736485
W. Rooney,74-17784-2
V. Kompany,686384
M. Götze,81-287-187-1
Sergio Busquets,595784-2
T. Kroos,63+17587+1
K. Benzema,837983
E. Cavani,76-38385-1
Diego Costa,79+36385
A. Vidal,79-27984-1
H. Lloris,655584
Javi Martinez,51-859-185
Juan Mata,83-29087-1
J. Boateng,6864+279-2
P. Čech,454986+1
C. Tévez,878388+1
Piqué,605781-1
A. Turan,79-286+283
A. Sánchez,90+19181
Oscar,848681
S. Nasri,798283
M. Benatia,746983-1
S. Khedira,58+25283
G. Higuaín,79+172+282
S. Sirigu,505278-4
Casillas,656280-1
A. Pirlo,5568-189
Xabi Alonso,555680-3
D. De Rossi,696982-1
G. Chiellini,73+25978-3
W. Sneijder,768277-2
Santi Cazorla,798685
K. Huntelaar,67-16588
Cesc Fàbregas,676583
D. Godín,646281+1
P. Pogba,757978-1
Isco,788679
I. Gündoğan,82-28686
De Gea,515778
J. Cuadrado,929075-1
D. Sturridge,88-17882-1
M. Pjanić,727685-1
A. Ramsey,737481+4
Pedro,868488
E. Garay,50-1057-677-2
B. Matuidi,778183-3
S. Ruffier,555475-3
I. Rakitić,69+27278+1
A. Candreva,867879-1
R. Weidenfeller,32-63985+1
J. Terry,344482
P. Mertesacker,292985
J. Toulalan,545582
Pepe,696773
A. Barzagli,755980-3
N. Vidić,49-25076-1
J. Mascherano,697284
Negredo,70-26880
Dani Alves,84-384-485-2
Jesús Navas,929182
Diego López,344876
I. Akinfeev,566278
J. Farfán,887782
João Moutinho,798482-3
S. Handanovič,574984
Miranda,746775
C. Marchisio,798384-1
C. Bravo,58+36483+1
E. Džeko,695881
M. Mandžukić,747683
S. Kagawa,909385
Hulk,84-472-783
C. Eriksen,84-178-481
M. ter Stegen,383781+2
A. Griezmann,858880
C. Vela,87-18778
D. Alaba,878684
Lucas,95+193-183
M. Hamšik,7379-180-1
M. Balotelli,827866+2
D. Mertens,92+193+176
Marcelo,79-27985
N. Matić,6653-881+2
B. Leno,465282+2
Koke,777884
J. Martínez,7878-580
G. Rossi,868479-1
A. Begović,525378
J. Vertonghen,696880
Sokratis,7566-480
B. Höwedes,64-165+582+1
Willian,928781
N. Subotić,67-16679+1
N. Gaitán,85+188-283+1
S. Doumbia,91+370-2079
J. Hart,59+32581
S. Mignolet,552869
David Luiz,757574
Luiz Gustavo,75-168-783
G. Buffon,455174-1
S. Gerrard,625986
T. Howard,504882
Danny,86-184-174
Júlio César,396983
T. Motta,485078
R. Adler,46+44983
Alex,53+144+375-5
Diego,7790+485-1
P. Zabaleta,757285
Gabi,697981
M. Gomez,71-16478-2
R. Palacio,86-18383-1
Dante,62-568-182-2
E. Lavezzi,86-39480-2
Borja Valero,747883-1
L. Baines,75-474+280+1
S. Mandanda,535279
Filipe Luís,79-27482
J. Błaszczykowski,88-48382
L. Piszczek,78-568-183
Hernanes,697881-3
F. Muslera,637084-2
F. Amorebielsa,534473
